district_name,item_name,report_month,required_units,units_distributed,funding_source,programme,beneficiary_count,priority_level,district_code,unit_type,collection_method,last_updated,balance,remarks
Sargodha,Food,2024-12-01,4273.0,3853.0,Local Fund,Nutrition Program,2721,Low,PK-SAR,kg,Mobile App,2024-12-20,420.0,
Sialkot,Water,2025-01-01,3536.0,2647.0,UNHCR,WASH Program,105,Medium,PK-SIA,liters,Mobile App,2025-01-04,889.0,Partner discrepancy noted
Sialkot,Water,2025-11-01,1991.0,,Red Crescent,WASH Program,2023,High,PK-SIA,liters,Manual Entry,2025-11-16,,Partner discrepancy noted
Gujranwala,Medicine,2025-02-01,1124.0,1096.0,UNHCR,Health Support,2695,Medium,PK-GUJ,kits,Partner Report,2025-02-21,28.0,Field verified
Lahore,Shelter,2026-12-01,2602.0,952.0,USAID,Shelter Support,423,High,PK-LAH,units,Partner Report,2026-12-01,1650.0,Pending review
Sialkot,Hygiene,2026-12-01,3000.0,2315.0,Red Crescent,WASH Program,977,Low,PK-SIA,kits,Manual Entry,2026-12-05,685.0,Reported by district office
Hyderabad,Medicine,2026-01-01,1982.0,1485.0,UNICEF,Health Support,1415,Low,PK-HYD,kits,Survey,2026-01-12,497.0,Reported by district office
Peshawar,Clothing,2025-03-01,2117.0,1736.0,Red Crescent,Winter Aid,2973,High,PK-PES,pieces,Survey,2025-03-05,381.0,Pending review
Lahore,Shelter,2026-12-01,2602.0,952.0,USAID,Shelter Support,423,High,PK-LAH,units,Partner Report,2026-12-01,1650.0,Pending review
Karachi,Clothing,2024-08-01,622.0,607.0,Red Crescent,Winter Aid,2502,Low,PK-KAR,pieces,Survey,2024-08-02,15.0,Field verified
Bahawalpur,Medicine,2025-03-01,1378.0,1466.0,Private Donor,Health Support,1144,High,PK-BAH,kits,Mobile App,2025-03-06,-88.0,Partner discrepancy noted
Lahore,Water,2025-02-01,1714.0,1561.0,Local Fund,WASH Program,1990,Low,PK-LAH,liters,Survey,2025-02-06,153.0,Field verified
Karachi,Food,2026-09-01,,393.0,USAID,Nutrition Program,1407,Medium,PK-KAR,kg,Mobile App,2026-09-20,,Partner discrepancy noted
Rawalpindi,Hygiene,2025-12-01,302.0,301.0,Private Donor,WASH Program,2152,High,PK-RAW,kits,Survey,2025-12-03,1.0,Reported by district office
Sargodha,Food,2025-05-01,891.0,885.0,Red Crescent,Nutrition Program,2134,Low,PK-SAR,kg,Survey,2025-05-20,6.0,Field verified
Sargodha,Hygiene,2024-11-01,,2805.0,UNHCR,WASH Program,2942,Medium,PK-SAR,kits,Mobile App,2024-11-19,,Field verified
Bahawalpur,Shelter,2026-08-01,824.0,755.0,WFP,Shelter Support,437,High,PK-BAH,units,Manual Entry,2026-08-21,69.0,Partner discrepancy noted
Lahore,Food,2026-09-01,4286.0,3232.0,UNICEF,Nutrition Program,2821,Medium,PK-LAH,kg,Partner Report,2026-09-25,1054.0,Field verified
Hyderabad,Hygiene,2024-03-01,397.0,328.0,Local Fund,WASH Program,675,Low,PK-HYD,kits,Manual Entry,2024-03-07,69.0,Field verified
Rawalpindi,Medicine,2025-07-01,1333.0,1301.0,UNHCR,Health Support,1254,Medium,PK-RAW,kits,Mobile App,2025-07-17,32.0,Partner discrepancy noted
Sialkot,Clothing,2025-04-01,2710.0,2412.0,Red Crescent,Winter Aid,1429,High,PK-SIA,pieces,Survey,2025-04-22,298.0,
Peshawar,Clothing,2024-08-01,2669.0,2440.0,WFP,Winter Aid,783,Low,PK-PES,pieces,Mobile App,2024-08-11,229.0,Pending review
Sialkot,Shelter,2025-02-01,1464.0,1429.0,UNHCR,Shelter Support,1629,Medium,PK-SIA,units,Partner Report,2025-02-11,35.0,Field verified
Sargodha,Food,2026-01-01,5044.0,4335.0,Red Crescent,Nutrition Program,1584,Low,PK-SAR,kg,Manual Entry,2026-01-13,709.0,
Bahawalpur,Clothing,2025-07-01,2873.0,2310.0,Red Crescent,Winter Aid,368,Low,PK-BAH,pieces,Mobile App,2025-07-25,563.0,Reported by district office
Rawalpindi,Water,2026-02-01,5429.0,5722.0,WFP,WASH Program,1352,Low,PK-RAW,liters,Mobile App,2026-02-04,-293.0,Pending review
Faisalabad,Hygiene,2025-09-01,875.0,783.0,Red Crescent,WASH Program,938,High,PK-FAI,kits,Mobile App,2025-09-25,92.0,
Sialkot,Shelter,2026-12-01,,2471.0,USAID,Shelter Support,2421,Medium,PK-SIA,units,Partner Report,2026-12-22,,
Multan,Clothing,2025-06-01,2136.0,1083.0,Red Crescent,Winter Aid,984,Low,PK-MUL,pieces,Mobile App,2025-06-20,1053.0,Partner discrepancy noted
Sargodha,Clothing,2026-02-01,2669.0,1935.0,WFP,Winter Aid,1495,High,PK-SAR,pieces,Partner Report,2026-02-21,734.0,Partner discrepancy noted
Hyderabad,Hygiene,2026-01-01,1161.0,362.0,UNICEF,WASH Program,146,Low,PK-HYD,kits,Mobile App,2026-01-15,799.0,Reported by district office
Multan,Clothing,2025-06-01,,1585.0,UNICEF,Winter Aid,1804,Low,PK-MUL,pieces,Survey,2025-06-02,,Field verified
Faisalabad,Water,2026-11-01,,990.0,USAID,WASH Program,2117,High,PK-FAI,liters,Survey,2026-11-02,,
Rawalpindi,Hygiene,2025-07-01,2826.0,3036.0,UNHCR,WASH Program,196,Medium,PK-RAW,kits,Partner Report,2025-07-24,-210.0,
Gujranwala,Water,2026-11-01,4497.0,3831.0,Red Crescent,WASH Program,711,High,PK-GUJ,liters,Manual Entry,2026-11-07,666.0,Partner discrepancy noted
Bahawalpur,Food,2024-05-01,954.0,1040.0,Red Crescent,Nutrition Program,1078,Low,PK-BAH,kg,Mobile App,2024-05-21,-86.0,Reported by district office
Lahore,Medicine,2026-10-01,227.0,,WFP,Health Support,2741,Medium,PK-LAH,kits,Partner Report,2026-10-13,,Partner discrepancy noted
Sialkot,Shelter,2025-02-01,3519.0,3167.0,Red Crescent,Shelter Support,1159,High,PK-SIA,units,Survey,2025-02-05,352.0,Reported by district office
Lahore,Food,2026-04-01,871.0,,UNICEF,Nutrition Program,1062,High,PK-LAH,kg,Partner Report,2026-04-05,,Field verified
Hyderabad,Hygiene,2024-11-01,5026.0,5537.0,USAID,WASH Program,92,High,PK-HYD,kits,Survey,2024-11-16,-511.0,Field verified
Multan,Clothing,2026-01-01,4096.0,2881.0,Local Fund,Winter Aid,1421,High,PK-MUL,pieces,Manual Entry,2026-01-19,1215.0,
Multan,Medicine,2025-01-01,641.0,211.0,UNHCR,Health Support,2031,Medium,PK-MUL,kits,Manual Entry,2025-01-21,430.0,Field verified
Hyderabad,Food,2024-09-01,4605.0,4295.0,USAID,Nutrition Program,2762,High,PK-HYD,kg,Manual Entry,2024-09-13,310.0,Partner discrepancy noted
Gujranwala,Medicine,2026-08-01,2772.0,,Local Fund,Health Support,187,Medium,PK-GUJ,kits,Partner Report,2026-08-01,,
Peshawar,Shelter,2026-08-01,2344.0,2317.0,Private Donor,Shelter Support,1860,Medium,PK-PES,units,Manual Entry,2026-08-21,27.0,Field verified
Sargodha,Water,2024-01-01,3604.0,2973.0,Red Crescent,WASH Program,2596,Medium,PK-SAR,liters,Manual Entry,2024-01-24,631.0,Partner discrepancy noted
Bahawalpur,Food,2024-09-01,2957.0,3120.0,USAID,Nutrition Program,1662,Low,PK-BAH,kg,Survey,2024-09-09,-163.0,Field verified
Hyderabad,Water,2026-03-01,4209.0,3345.0,Local Fund,WASH Program,2455,Medium,PK-HYD,liters,Survey,2026-03-11,864.0,
Sargodha,Clothing,2026-01-01,1910.0,1544.0,Local Fund,Winter Aid,369,High,PK-SAR,pieces,Survey,2026-01-21,366.0,Partner discrepancy noted
Sargodha,Medicine,2025-03-01,4329.0,4909.0,Private Donor,Health Support,2189,High,PK-SAR,kits,Partner Report,2025-03-20,-580.0,
Multan,Medicine,2026-02-01,2170.0,2170.0,UNHCR,Health Support,2796,Medium,PK-MUL,kits,Survey,2026-02-09,0.0,Reported by district office
Faisalabad,Hygiene,2025-01-01,5184.0,,USAID,WASH Program,678,Low,PK-FAI,kits,Mobile App,2025-01-15,,Reported by district office
Sialkot,Medicine,2025-07-01,2703.0,2411.0,UNICEF,Health Support,1365,Medium,PK-SIA,kits,Mobile App,2025-07-13,292.0,Partner discrepancy noted
Hyderabad,Hygiene,2026-03-01,3539.0,1379.0,Red Crescent,WASH Program,2526,High,PK-HYD,kits,Survey,2026-03-16,2160.0,
Sargodha,Medicine,2024-10-01,1594.0,1573.0,WFP,Health Support,403,Medium,PK-SAR,kits,Manual Entry,2024-10-15,21.0,Field verified
Gujranwala,Shelter,2026-10-01,444.0,418.0,Local Fund,Shelter Support,249,Medium,PK-GUJ,units,Manual Entry,2026-10-05,26.0,Field verified
Quetta,Medicine,2024-06-01,4912.0,5016.0,Red Crescent,Health Support,2170,Low,PK-QUE,kits,Survey,2024-06-23,-104.0,Partner discrepancy noted
Sargodha,Food,2026-10-01,3617.0,3617.0,USAID,Nutrition Program,2095,Low,PK-SAR,kg,Partner Report,2026-10-07,0.0,
Lahore,Water,2026-03-01,3532.0,1644.0,Red Crescent,WASH Program,2131,High,PK-LAH,liters,Mobile App,2026-03-04,1888.0,Pending review
Peshawar,Medicine,2026-05-01,3689.0,,Red Crescent,Health Support,1323,Low,PK-PES,kits,Mobile App,2026-05-02,,Partner discrepancy noted
Sargodha,Clothing,2024-02-01,,2764.0,UNICEF,Winter Aid,1151,Low,PK-SAR,pieces,Manual Entry,2024-02-19,,Partner discrepancy noted
Quetta,Clothing,2025-11-01,815.0,815.0,Red Crescent,Winter Aid,2067,High,PK-QUE,pieces,Manual Entry,2025-11-01,0.0,Partner discrepancy noted
Bahawalpur,Hygiene,2025-12-01,4163.0,4163.0,UNHCR,WASH Program,288,Medium,PK-BAH,kits,Manual Entry,2025-12-14,0.0,Field verified
Peshawar,Hygiene,2025-02-01,2456.0,1192.0,Private Donor,WASH Program,341,High,PK-PES,kits,Mobile App,2025-02-03,1264.0,Field verified
Quetta,Water,2026-03-01,,2624.0,USAID,WASH Program,2255,Low,PK-QUE,liters,Partner Report,2026-03-01,,Partner discrepancy noted
Quetta,Shelter,2025-04-01,4665.0,1517.0,USAID,Shelter Support,2123,Low,PK-QUE,units,Survey,2025-04-15,3148.0,Pending review
Hyderabad,Food,2026-03-01,3597.0,2591.0,Red Crescent,Nutrition Program,965,Low,PK-HYD,kg,Manual Entry,2026-03-12,1006.0,Reported by district office
Karachi,Medicine,2026-05-01,2061.0,2125.0,USAID,Health Support,2365,Medium,PK-KAR,kits,Partner Report,2026-05-11,-64.0,Pending review
Hyderabad,Clothing,2024-05-01,3436.0,3222.0,Local Fund,Winter Aid,55,High,PK-HYD,pieces,Partner Report,2024-05-02,214.0,Reported by district office
Quetta,Hygiene,2026-05-01,1240.0,899.0,Private Donor,WASH Program,1699,Low,PK-QUE,kits,Survey,2026-05-13,341.0,Reported by district office
Lahore,Hygiene,2025-06-01,4426.0,,WFP,WASH Program,2235,High,PK-LAH,kits,Survey,2025-06-05,,Reported by district office
Hyderabad,Shelter,2026-01-01,,213.0,WFP,Shelter Support,2924,Medium,PK-HYD,units,Mobile App,2026-01-17,,
Multan,Water,2025-06-01,4468.0,4468.0,Private Donor,WASH Program,281,Medium,PK-MUL,liters,Mobile App,2025-06-12,0.0,Reported by district office
Lahore,Hygiene,2026-08-01,1825.0,1320.0,UNHCR,WASH Program,737,Medium,PK-LAH,kits,Mobile App,2026-08-16,505.0,Reported by district office
Gujranwala,Food,2024-03-01,4766.0,3482.0,WFP,Nutrition Program,2851,Low,PK-GUJ,kg,Partner Report,2024-03-14,1284.0,Partner discrepancy noted
Sialkot,Hygiene,2026-02-01,,489.0,UNICEF,WASH Program,1820,Medium,PK-SIA,kits,Mobile App,2026-02-09,,Reported by district office
Sialkot,Food,2025-11-01,,2904.0,Local Fund,Nutrition Program,2513,High,PK-SIA,kg,Manual Entry,2025-11-10,,Pending review
Sialkot,Clothing,2026-03-01,2106.0,,USAID,Winter Aid,1612,Low,PK-SIA,pieces,Mobile App,2026-03-10,,Partner discrepancy noted
Bahawalpur,Clothing,2024-08-01,220.0,214.0,Red Crescent,Winter Aid,423,Low,PK-BAH,pieces,Manual Entry,2024-08-12,6.0,Pending review
Sargodha,Hygiene,2024-02-01,3150.0,,Red Crescent,WASH Program,1976,High,PK-SAR,kits,Partner Report,2024-02-10,,
Faisalabad,Hygiene,2024-03-01,2962.0,2619.0,UNHCR,WASH Program,745,High,PK-FAI,kits,Mobile App,2024-03-23,343.0,Reported by district office
Sialkot,Clothing,2024-09-01,4666.0,3276.0,UNHCR,Winter Aid,1553,Medium,PK-SIA,pieces,Mobile App,2024-09-18,1390.0,
Faisalabad,Hygiene,2026-04-01,4171.0,3222.0,Private Donor,WASH Program,2423,Medium,PK-FAI,kits,Mobile App,2026-04-13,949.0,Pending review
Bahawalpur,Clothing,2025-04-01,4929.0,3947.0,WFP,Winter Aid,423,High,PK-BAH,pieces,Mobile App,2025-04-11,982.0,Pending review
Karachi,Clothing,2024-08-01,622.0,607.0,Red Crescent,Winter Aid,2502,Low,PK-KAR,pieces,Survey,2024-08-02,15.0,Field verified
Sargodha,Clothing,2026-02-01,2669.0,1935.0,WFP,Winter Aid,1495,High,PK-SAR,pieces,Partner Report,2026-02-21,734.0,Partner discrepancy noted
Gujranwala,Water,2025-04-01,4692.0,3364.0,Private Donor,WASH Program,2914,Low,PK-GUJ,liters,Partner Report,2025-04-14,1328.0,Pending review
Hyderabad,Water,2026-11-01,4718.0,3934.0,UNICEF,WASH Program,2018,Low,PK-HYD,liters,Survey,2026-11-25,784.0,
Hyderabad,Medicine,2024-11-01,3179.0,2457.0,WFP,Health Support,132,Medium,PK-HYD,kits,Manual Entry,2024-11-10,722.0,Reported by district office
Sargodha,Hygiene,2026-08-01,4465.0,3238.0,UNICEF,WASH Program,957,Low,PK-SAR,kits,Survey,2026-08-23,1227.0,Field verified
Faisalabad,Hygiene,2024-08-01,2494.0,2310.0,Red Crescent,WASH Program,2174,Medium,PK-FAI,kits,Survey,2024-08-07,184.0,Partner discrepancy noted
Sargodha,Water,2026-09-01,2680.0,,Red Crescent,WASH Program,454,Medium,PK-SAR,liters,Survey,2026-09-17,,Field verified
Karachi,Shelter,2024-01-01,2663.0,1870.0,Private Donor,Shelter Support,651,High,PK-KAR,units,Survey,2024-01-15,793.0,
Rawalpindi,Water,2024-06-01,1750.0,1541.0,Red Crescent,WASH Program,1720,Medium,PK-RAW,liters,Mobile App,2024-06-16,209.0,Reported by district office
Karachi,Shelter,2025-03-01,1287.0,1050.0,UNICEF,Shelter Support,2445,Low,PK-KAR,units,Mobile App,2025-03-07,237.0,Field verified
Peshawar,Clothing,2025-07-01,5335.0,2327.0,UNHCR,Winter Aid,1403,Medium,PK-PES,pieces,Mobile App,2025-07-17,3008.0,Partner discrepancy noted
Hyderabad,Food,2025-07-01,4148.0,4515.0,Private Donor,Nutrition Program,916,Low,PK-HYD,kg,Manual Entry,2025-07-20,-367.0,Field verified
Sargodha,Medicine,2026-05-01,283.0,227.0,WFP,Health Support,110,High,PK-SAR,kits,Mobile App,2026-05-13,56.0,Pending review
Hyderabad,Food,2026-07-01,3775.0,3582.0,Red Crescent,Nutrition Program,934,Low,PK-HYD,kg,Partner Report,2026-07-09,223.0,Reported by district office
Gujranwala,Medicine,2024-03-01,3318.0,2657.0,USAID,Health Support,694,Low,PK-GUJ,kits,Mobile App,2024-03-14,661.0,Field verified
Quetta,Clothing,2025-08-01,2996.0,2658.0,UNICEF,Winter Aid,641,Medium,PK-QUE,pieces,Survey,2025-08-18,338.0,Pending review
Gujranwala,Clothing,2025-08-01,1981.0,1484.0,WFP,Winter Aid,2125,Low,PK-GUJ,pieces,Manual Entry,2025-08-12,497.0,Reported by district office
Peshawar,Hygiene,2026-07-01,1596.0,1768.0,UNICEF,WASH Program,2957,High,PK-PES,kits,Survey,2026-07-01,-172.0,Partner discrepancy noted
Hyderabad,Clothing,2026-06-01,4156.0,4156.0,Local Fund,Winter Aid,2965,Low,PK-HYD,pieces,Manual Entry,2026-06-11,-31.0,Field verified
Quetta,Hygiene,2026-05-01,1240.0,899.0,Private Donor,WASH Program,1699,Low,PK-QUE,kits,Survey,2026-05-13,341.0,Reported by district office
Bahawalpur,Water,2024-09-01,3221.0,,Private Donor,WASH Program,2158,Low,PK-BAH,liters,Survey,2024-09-19,,Reported by district office
Bahawalpur,Hygiene,2025-03-01,4345.0,3523.0,Private Donor,WASH Program,199,High,PK-BAH,kits,Survey,2025-03-09,822.0,Pending review
Karachi,Water,2025-02-01,1991.0,847.0,UNICEF,WASH Program,1494,High,PK-KAR,liters,Manual Entry,2025-02-11,1144.0,
Multan,Water,2026-12-01,4953.0,2610.0,WFP,WASH Program,925,Low,PK-MUL,liters,Survey,2026-12-22,2343.0,
Rawalpindi,Hygiene,2025-09-01,3990.0,3990.0,Local Fund,WASH Program,1137,High,PK-RAW,kits,Manual Entry,2025-09-16,0.0,
Multan,Medicine,2024-01-01,764.0,855.0,WFP,Health Support,478,High,PK-MUL,kits,Manual Entry,2024-01-20,-91.0,Partner discrepancy noted
Gujranwala,Hygiene,2026-04-01,4683.0,3867.0,Local Fund,WASH Program,1655,Medium,PK-GUJ,kits,Partner Report,2026-04-11,816.0,Reported by district office
Faisalabad,Food,2025-02-01,1631.0,1223.0,Red Crescent,Nutrition Program,2262,Medium,PK-FAI,kg,Manual Entry,2025-02-17,408.0,
Sialkot,Water,2025-07-01,1244.0,1244.0,WFP,WASH Program,2302,Medium,PK-SIA,liters,Survey,2025-07-07,0.0,Field verified
Quetta,Shelter,2025-01-01,1678.0,1598.0,USAID,Shelter Support,1776,Low,PK-QUE,units,Manual Entry,2025-01-15,80.0,Pending review
Quetta,Hygiene,2025-04-01,4205.0,3359.0,Private Donor,WASH Program,1792,Low,PK-QUE,kits,Mobile App,2025-04-13,833.0,
Bahawalpur,Hygiene,2025-09-01,760.0,590.0,UNHCR,WASH Program,769,High,PK-BAH,kits,Mobile App,2025-09-12,170.0,
Bahawalpur,Medicine,2026-11-01,1499.0,1418.0,WFP,Health Support,602,Medium,PK-BAH,kits,Manual Entry,2026-11-21,81.0,Partner discrepancy noted
Gujranwala,Hygiene,2026-05-01,171.0,120.0,Red Crescent,WASH Program,381,Medium,PK-GUJ,kits,Mobile App,2026-05-05,51.0,Field verified
Peshawar,Medicine,2024-07-01,2725.0,1922.0,USAID,Health Support,388,High,PK-PES,kits,Survey,2024-07-24,803.0,Field verified
Gujranwala,Shelter,2026-07-01,4902.0,4533.0,USAID,Shelter Support,1522,High,PK-GUJ,units,Partner Report,2026-07-12,369.0,Pending review
Multan,Clothing,2024-02-01,1109.0,1033.0,Private Donor,Winter Aid,2062,Medium,PK-MUL,pieces,Mobile App,2024-02-22,76.0,Pending review
Quetta,Clothing,2024-10-01,609.0,448.0,Private Donor,Winter Aid,2824,Low,PK-QUE,pieces,Mobile App,2024-10-14,161.0,Pending review
Peshawar,Shelter,2025-03-01,3932.0,4157.0,USAID,Shelter Support,277,High,PK-PES,units,Survey,2025-03-24,-225.0,Field verified
Lahore,Medicine,2026-04-01,4450.0,4323.0,Local Fund,Health Support,2422,High,PK-LAH,kits,Survey,2026-04-13,127.0,Pending review
Faisalabad,Water,2026-12-01,2110.0,2110.0,USAID,WASH Program,252,Low,PK-FAI,liters,Survey,2026-12-15,0.0,Partner discrepancy noted
Multan,Water,2024-02-01,2413.0,2413.0,WFP,WASH Program,1633,High,PK-MUL,liters,Manual Entry,2024-02-06,0.0,Field verified
Faisalabad,Hygiene,2026-08-01,1693.0,632.0,USAID,WASH Program,1974,Medium,PK-FAI,kits,Mobile App,2026-08-09,1061.0,
Faisalabad,Shelter,2025-04-01,1570.0,1437.0,UNHCR,Shelter Support,297,Medium,PK-FAI,units,Survey,2025-04-25,165.0,
Quetta,Medicine,2024-06-01,3072.0,2865.0,UNICEF,Health Support,1574,Medium,PK-QUE,kits,Survey,2024-06-24,207.0,Partner discrepancy noted
Multan,Medicine,2024-02-01,3165.0,2315.0,Private Donor,Health Support,207,Low,PK-MUL,kits,Manual Entry,2024-02-15,850.0,Pending review
Hyderabad,Food,2026-03-01,1791.0,1927.0,UNHCR,Nutrition Program,2023,Low,PK-HYD,kg,Partner Report,2026-03-22,-136.0,Reported by district office
Multan,Water,2024-07-01,4135.0,4690.0,Private Donor,WASH Program,120,Low,PK-MUL,liters,Manual Entry,2024-07-07,-555.0,Field verified
Quetta,Hygiene,2025-12-01,4448.0,3976.0,USAID,WASH Program,2457,Medium,PK-QUE,kits,Survey,2025-12-04,472.0,
Lahore,Water,2026-01-01,342.0,295.0,Local Fund,WASH Program,1968,Medium,PK-LAH,liters,Survey,2026-01-04,47.0,Pending review
Sargodha,Clothing,2026-10-01,2744.0,1457.0,USAID,Winter Aid,2232,High,PK-SAR,pieces,Manual Entry,2026-10-08,1287.0,
Karachi,Water,2026-05-01,,141.0,Private Donor,WASH Program,2541,Low,PK-KAR,liters,Manual Entry,2026-05-04,,
Sialkot,Hygiene,2024-01-01,4771.0,4428.0,Local Fund,WASH Program,2158,Medium,PK-SIA,kits,Mobile App,2024-01-18,343.0,Field verified
Quetta,Clothing,2024-01-01,2124.0,2124.0,Private Donor,Winter Aid,1839,Medium,PK-QUE,pieces,Mobile App,2024-01-09,0.0,Partner discrepancy noted
Bahawalpur,Clothing,2025-02-01,2634.0,2527.0,USAID,Winter Aid,1058,High,PK-BAH,pieces,Mobile App,2025-02-21,107.0,Reported by district office
Hyderabad,Shelter,2024-06-01,4717.0,4112.0,Private Donor,Shelter Support,2467,Low,PK-HYD,units,Mobile App,2024-06-09,605.0,Field verified
Bahawalpur,Food,2026-10-01,4914.0,4914.0,UNICEF,Nutrition Program,1318,Low,PK-BAH,kg,Manual Entry,2026-10-13,0.0,Reported by district office
Sargodha,Clothing,2024-05-01,4840.0,4840.0,USAID,Winter Aid,1118,High,PK-SAR,pieces,Survey,2024-05-04,0.0,Pending review
Hyderabad,Hygiene,2024-03-01,397.0,328.0,Local Fund,WASH Program,675,Low,PK-HYD,kits,Manual Entry,2024-03-07,69.0,Field verified
Karachi,Clothing,2025-11-01,2939.0,2183.0,Red Crescent,Winter Aid,1834,High,PK-KAR,pieces,Manual Entry,2025-11-05,756.0,Partner discrepancy noted
Rawalpindi,Clothing,2026-08-01,1035.0,410.0,UNHCR,Winter Aid,1462,Low,PK-RAW,pieces,Partner Report,2026-08-06,625.0,Field verified
Hyderabad,Food,2026-03-01,1791.0,1927.0,UNHCR,Nutrition Program,2023,Low,PK-HYD,kg,Partner Report,2026-03-22,-136.0,Reported by district office
Quetta,Medicine,2025-04-01,128.0,120.0,USAID,Health Support,1765,High,PK-QUE,kits,Manual Entry,2025-04-06,8.0,Partner discrepancy noted
Hyderabad,Shelter,2026-05-01,639.0,549.0,Red Crescent,Shelter Support,2351,High,PK-HYD,units,Mobile App,2026-05-09,90.0,Field verified
Faisalabad,Food,2024-05-01,,585.0,UNHCR,Nutrition Program,2725,Medium,PK-FAI,kg,Manual Entry,2024-05-20,,Field verified
Multan,Clothing,2024-08-01,3818.0,,WFP,Winter Aid,2868,High,PK-MUL,pieces,Mobile App,2024-08-18,,Field verified
Sargodha,Clothing,2026-04-01,5127.0,4238.0,USAID,Winter Aid,92,Medium,PK-SAR,pieces,Survey,2026-04-15,889.0,Field verified
Lahore,Water,2025-05-01,2651.0,2651.0,Local Fund,WASH Program,606,Medium,PK-LAH,liters,Mobile App,2025-05-01,0.0,Reported by district office
Gujranwala,Shelter,2026-12-01,3738.0,3738.0,Red Crescent,Shelter Support,1287,Low,PK-GUJ,units,Survey,2026-12-17,0.0,Partner discrepancy noted
Rawalpindi,Water,2026-02-01,5429.0,5722.0,WFP,WASH Program,1352,Low,PK-RAW,liters,Mobile App,2026-02-04,-293.0,Pending review
Karachi,Food,2024-09-01,3664.0,3648.0,Local Fund,Nutrition Program,678,High,PK-KAR,kg,Mobile App,2024-09-18,16.0,Reported by district office
Gujranwala,Water,2024-06-01,3616.0,1953.0,USAID,WASH Program,187,High,PK-GUJ,liters,Manual Entry,2024-06-24,1663.0,Partner discrepancy noted
Sargodha,Shelter,2025-08-01,4910.0,4732.0,UNICEF,Shelter Support,2675,High,PK-SAR,units,Survey,2025-08-09,178.0,Partner discrepancy noted
Bahawalpur,Hygiene,2025-03-01,4345.0,3523.0,Private Donor,WASH Program,199,High,PK-BAH,kits,Survey,2025-03-09,822.0,Pending review
Multan,Medicine,2025-04-01,2041.0,1551.0,WFP,Health Support,296,Medium,PK-MUL,kits,Partner Report,2025-04-22,490.0,Reported by district office
Peshawar,Shelter,2024-12-01,1607.0,654.0,Private Donor,Shelter Support,471,High,PK-PES,units,Manual Entry,2024-12-18,953.0,Partner discrepancy noted
Multan,Clothing,2025-10-01,2451.0,2388.0,Local Fund,Winter Aid,1134,High,PK-MUL,pieces,Mobile App,2025-10-11,63.0,Reported by district office
Rawalpindi,Water,2026-02-01,5429.0,5722.0,WFP,WASH Program,1352,Low,PK-RAW,liters,Mobile App,2026-02-04,-293.0,Pending review
Hyderabad,Medicine,2024-01-01,5103.0,5080.0,WFP,Health Support,353,Low,PK-HYD,kits,Manual Entry,2024-01-05,23.0,Field verified
Peshawar,Clothing,2025-06-01,1908.0,1829.0,Private Donor,Winter Aid,1235,Low,PK-PES,pieces,Manual Entry,2025-06-03,79.0,Field verified
Sargodha,Medicine,2026-10-01,675.0,620.0,Private Donor,Health Support,1447,High,PK-SAR,kits,Survey,2026-10-22,55.0,Field verified
Bahawalpur,Food,2026-07-01,5405.0,4880.0,USAID,Nutrition Program,1939,Medium,PK-BAH,kg,Mobile App,2026-07-03,525.0,Pending review
Bahawalpur,Shelter,2026-03-01,5018.0,,UNHCR,Shelter Support,359,Medium,PK-BAH,units,Mobile App,2026-03-09,,Partner discrepancy noted
Gujranwala,Shelter,2024-04-01,4895.0,3907.0,Red Crescent,Shelter Support,2957,Medium,PK-GUJ,units,Survey,2024-04-04,988.0,Partner discrepancy noted
Rawalpindi,Shelter,2025-10-01,5472.0,4069.0,Red Crescent,Shelter Support,2133,Medium,PK-RAW,units,Partner Report,2025-10-09,1403.0,Pending review
Lahore,Hygiene,2026-08-01,,1870.0,Private Donor,WASH Program,2053,Low,PK-LAH,kits,Survey,2026-08-02,,
Hyderabad,Hygiene,2026-05-01,2506.0,2467.0,WFP,WASH Program,2752,High,PK-HYD,kits,Survey,2026-05-15,39.0,Partner discrepancy noted
Bahawalpur,Food,2024-10-01,4104.0,3666.0,UNHCR,Nutrition Program,690,Low,PK-BAH,kg,Manual Entry,2024-10-06,438.0,
Gujranwala,Medicine,2024-12-01,362.0,315.0,USAID,Health Support,2081,High,PK-GUJ,kits,Mobile App,2024-12-15,47.0,Pending review
Rawalpindi,Water,2024-12-01,2182.0,2499.0,UNHCR,WASH Program,333,Low,PK-RAW,liters,Manual Entry,2024-12-23,-317.0,
Sargodha,Food,2024-06-01,,213.0,Red Crescent,Nutrition Program,2975,Medium,PK-SAR,kg,Survey,2024-06-20,,
Multan,Clothing,2024-03-01,,2399.0,Red Crescent,Winter Aid,1864,High,PK-MUL,pieces,Survey,2024-03-11,,
Sialkot,Water,2026-05-01,1355.0,1042.0,Red Crescent,WASH Program,272,Medium,PK-SIA,liters,Mobile App,2026-05-01,313.0,Reported by district office
Karachi,Clothing,2026-02-01,,336.0,Local Fund,Winter Aid,2812,High,PK-KAR,pieces,Survey,2026-02-23,,Reported by district office
Sialkot,Clothing,2024-08-01,3000.0,2348.0,UNHCR,Winter Aid,175,Medium,PK-SIA,pieces,Partner Report,2024-08-19,652.0,Partner discrepancy noted
Sargodha,Medicine,2025-04-01,4772.0,4160.0,UNICEF,Health Support,1784,High,PK-SAR,kits,Survey,2025-04-07,670.0,Pending review
