Beneficiary_Region,Commodity_Type,Reporting_Period,HH_in_Need,Qty_Given,Programme_Category,Priority_Level,District_Code,Gap_Balance,Donor_Name,Notes,Record_ID
Faisalabad,Medicine,Jun-2025,866.0,880.0,Seasonal Aid,High,PK-FAI,-14,USAID,Reported late,REC01470
Sargodha,Hygiene,Mar-2026,811.0,482.0,Recovery,High,PK-SAR,329,UNHCR,Partial delivery,REC00974
Faisalabad,Hygiene,06/01/2026,766.0,286.0,Emergency,Medium,PK-FAI,480,Govt Relief Fund,Partial delivery,REC01039
Gujranwala,Clothing,04/01/2025,683.0,551.0,Development,Low,PK-GUJ,132,Govt Relief Fund,Delayed due to weather,REC02258
Rawalpindi,Hygiene,2025/11/01,438.0,357.0,Recovery,Low,PK-RAW,71,Red Crescent,,REC02747
Lahore,Clothing,2026/12/01,309.0,105.0,Emergency,Medium,PK-LAH,204,Red Crescent,Delayed due to weather,REC01991
Quetta,Water,2025-03-01,527.0,477.0,Development,Medium,PK-QUE,50,UNHCR,N/A,REC00551
Sialkot,Shelter,2026/02/01,182.0,77.0,Emergency,High,PK-SIA,105,Govt Relief Fund,Verified by field officer,REC01052
Karachi,Clothing,07/01/2025,251.0,244.0,Development,High,PK-KAR,7,Govt Relief Fund,,REC00375
Sargodha,Medicine,04/01/2025,420.0,304.0,,Medium,PK-SAR,116,Red Crescent,Delayed due to weather,REC01785
Bahawalpur,Clothing,2026-05-01,648.0,235.0,Development,Low,PK-BAH,413,UNICEF,Partial delivery,REC00484
Hyderabad,Water,2026-04-01,361.0,239.0,,Low,PK-HYD,122,Red Crescent,Reported late,REC00888
Multan,Water,2025-04-01,731.0,565.0,Recovery,High,PK-MUL,166,Govt Relief Fund,Delayed due to weather,REC00401
Quetta,Hygiene,2025/06/01,833.0,550.0,Recovery,Low,PK-QUE,283,UNHCR,Reported late,REC00263
Karachi,Medicine,Feb-2025,597.0,564.0,Development,Low,PK-KAR,33,WFP,Awaiting confirmation,REC02082
Hyderabad,Clothing,2026/06/01,480.0,402.0,Seasonal Aid,Low,PK-HYD,78,Local Fund,Verified by field officer,REC02944
Rawalpindi,Hygiene,2026-12-01,777.0,365.0,Seasonal Aid,High,PK-RAW,412,UNHCR,Partial delivery,REC00992
Rawalpindi,Shelter,04/01/2025,731.0,423.0,Recovery,High,PK-RAW,308,USAID,Delayed due to weather,REC02522
Sialkot,Shelter,Sep-2026,313.0,190.0,Seasonal Aid,Low,PK-SIA,123,WFP,Reported late,REC00821
Lahore,Shelter,2026-03-01,814.0,478.0,Recovery,Low,PK-LAH,336,USAID,N/A,REC00472
Quetta,Clothing,2026-01-01,821.0,717.0,Development,,PK-QUE,118,Local Fund,Delayed due to weather,REC02418
Bahawalpur,Clothing,Jan-2026,239.0,227.0,Development,Low,PK-BAH,25,USAID,Awaiting confirmation,REC00944
Peshawar,Medicine,2026/02/01,443.0,138.0,Emergency,Medium,PK-PES,305,UNHCR,Partial delivery,REC00451
Karachi,Shelter,03/01/2026,166.0,89.0,Emergency,Low,PK-KAR,77,Local Fund,Partial delivery,REC01689
Gujranwala,Water,02/01/2025,136.0,68.0,Seasonal Aid,Low,PK-GUJ,68,UNICEF,,REC02478
Hyderabad,Hygiene,May-2026,860.0,418.0,Seasonal Aid,Low,PK-HYD,442,Red Crescent,Awaiting confirmation,REC02226
Karachi,Hygiene,2026-07-01,311.0,192.0,Emergency,Low,PK-KAR,119,UNICEF,N/A,REC01929
Sargodha,Medicine,2025-05-01,561.0,565.0,Seasonal Aid,Medium,PK-SAR,-4,USAID,Delayed due to weather,REC01949
Faisalabad,Medicine,2025-08-01,807.0,723.0,Development,Medium,PK-FAI,84,USAID,Reported late,REC01312
Faisalabad,Water,2025-08-01,325.0,190.0,Recovery,High,PK-FAI,135,UNHCR,,REC01531
Quetta,Water,2025-08-01,323.0,254.0,Recovery,High,PK-QUE,69,UNICEF,,REC01439
Gujranwala,Water,12/01/2025,688.0,326.0,Development,Medium,PK-GUJ,362,USAID,Partial delivery,REC00394
Faisalabad,Hygiene,2026/02/01,292.0,248.0,Recovery,High,PK-FAI,44,Local Fund,,REC02903
Bahawalpur,Hygiene,09/01/2025,575.0,417.0,Development,Low,PK-BAH,158,Local Fund,Partial delivery,REC02923
Peshawar,Food,2026/07/01,415.0,431.0,Development,High,PK-PES,-16,Govt Relief Fund,Reported late,REC01816
Quetta,Medicine,Nov-2026,659.0,400.0,Development,High,PK-QUE,259,USAID,Delayed due to weather,REC00676
Lahore,Medicine,Dec-2025,343.0,302.0,Seasonal Aid,High,PK-LAH,41,Red Crescent,Partial delivery,REC00824
Sargodha,Food,09/01/2026,771.0,,Seasonal Aid,High,PK-SAR,81,UNICEF,Verified by field officer,REC00682
Karachi,Hygiene,2026/10/01,770.0,802.0,Emergency,Medium,PK-KAR,-32,UNHCR,Verified by field officer,REC01513
Hyderabad,Clothing,Mar-2025,461.0,239.0,Seasonal Aid,Low,PK-HYD,222,USAID,N/A,REC02067
Bahawalpur,Medicine,2026-09-01,861.0,771.0,Development,High,PK-BAH,58,Govt Relief Fund,Reported late,REC01508
Sargodha,Water,2025/10/01,747.0,770.0,Development,High,PK-SAR,-23,Local Fund,N/A,REC01749
Hyderabad,Hygiene,2026-08-01,497.0,462.0,Development,Medium,PK-HYD,44,UNHCR,Delayed due to weather,REC00302
Sargodha,clothing,2025-06-01,776.0,655.0,Development,Medium,PK-SAR,121,UNICEF,Delayed due to weather,REC01151
Sargodha,Shelter,2026-11-01,381.0,284.0,Development,Medium,PK-SAR,97,Red Crescent,,REC02500
Sialkot,Shelter,03/01/2026,137.0,130.0,Seasonal Aid,Low,PK-SIA,7,UNHCR,N/A,REC02913
Sargodha,Clothing,Nov-2025,95.0,98.0,Development,Low,PK-SAR,-3,Govt Relief Fund,,REC02313
Bahawalpur,Water,2026/06/01,712.0,543.0,Seasonal Aid,High,PK-BAH,169,Red Crescent,Awaiting confirmation,REC02851
Multan,Shelter,Jul-2025,301.0,241.0,Emergency,Low,PK-MUL,60,USAID,Delayed due to weather,REC00480
Gujranwala,Hygiene,01/01/2025,358.0,137.0,Recovery,Medium,PK-GUJ,221,Govt Relief Fund,,REC01655
Quetta,Shelter,2026/03/01,641.0,399.0,Recovery,Medium,PK-QUE,242,Local Fund,Awaiting confirmation,REC00561
Faisalabad,Shelter,01/01/2025,853.0,804.0,Emergency,Low,PK-FAI,49,USAID,Verified by field officer,REC02274
Sialkot,Hygiene,Jul-2026,659.0,255.0,Seasonal Aid,High,,404,UNHCR,Delayed due to weather,REC02906
Rawalpindi,Shelter,06/01/2026,688.0,404.0,Emergency,Medium,PK-RAW,284,UNICEF,N/A,REC02299
Quetta,Food,08/01/2025,135.0,73.0,Emergency,High,PK-QUE,62,UNICEF,Delayed due to weather,REC00773
Quetta,Water,Jan-2025,200.0,135.0,Seasonal Aid,Low,PK-QUE,65,WFP,Verified by field officer,REC01787
Rawalpindi,Food,2026-08-01,746.0,457.0,Seasonal Aid,Medium,PK-RAW,289,UNICEF,Delayed due to weather,REC02598
Sialkot,Food,2025/12/01,854.0,729.0,Development,High,PK-SIA,125,USAID,N/A,REC01343
Peshawar,Clothing,Apr-2025,301.0,157.0,Development,High,PK-PES,144,UNICEF,Delayed due to weather,REC02840
Sialkot,Food,2025-01-01,542.0,405.0,Recovery,High,PK-SIA,137,UNHCR,Partial delivery,REC02090
Rawalpindi,Water,2025/06/01,557.0,269.0,Development,High,PK-RAW,288,UNHCR,,REC00842
Lahore,Medicine,08/01/2025,583.0,379.0,,High,PK-LAH,204,Red Crescent,Partial delivery,REC01834
Bahawalpur,Hygiene,2025-02-01,319.0,96.0,,High,PK-BAH,223,WFP,Partial delivery,REC02723
Quetta,Food,02/01/2026,304.0,298.0,Recovery,Medium,PK-QUE,25,WFP,N/A,REC01297
Faisalabad,Clothing,2026/10/01,533.0,438.0,Development,Medium,PK-FAI,95,USAID,Verified by field officer,REC01210
Sargodha,Medicine,Mar-2025,96.0,63.0,Development,Low,,33,USAID,Delayed due to weather,REC02298
Multan,Hygiene,04/01/2025,153.0,140.0,Recovery,Low,PK-MUL,13,UNHCR,Delayed due to weather,REC02770
Faisalabad,Hygiene,2026-12-01,548.0,216.0,Development,Low,PK-FAI,332,UNICEF,Awaiting confirmation,REC02526
Gujranwala,Water,Jan-2026,305.0,293.0,Seasonal Aid,Low,PK-GUJ,12,USAID,Delayed due to weather,REC02448
Quetta,Food,2026/08/01,416.0,149.0,Development,Medium,PK-QUE,267,USAID,N/A,REC00718
Peshawar,Hygiene,Jan-2026,299.0,291.0,Recovery,,PK-PES,8,Govt Relief Fund,Reported late,REC00041
Hyderabad,Shelter,2026-02-01,501.0,495.0,Emergency,Medium,PK-HYD,6,Govt Relief Fund,Delayed due to weather,REC02919
Faisalabad,Shelter,Jan-2026,383.0,179.0,Seasonal Aid,High,PK-FAI,204,USAID,Delayed due to weather,REC02188
Bahawalpur,Shelter,2026-08-01,440.0,347.0,Recovery,High,,93,UNHCR,N/A,REC00012
Multan,Medicine,Jan-2025,396.0,264.0,Emergency,Medium,PK-MUL,132,Local Fund,,REC00663
Peshawar,Shelter,Jan-2025,542.0,358.0,Development,Medium,PK-PES,184,Local Fund,Awaiting confirmation,REC02673
Rawalpindi,Shelter,11/01/2025,383.0,326.0,Emergency,High,PK-RAW,57,Govt Relief Fund,Awaiting confirmation,REC01015
Lahore,Water,2026-08-01,522.0,218.0,Seasonal Aid,High,PK-LAH,304,Local Fund,Reported late,REC02390
Peshawar,Hygiene,2025/12/01,647.0,194.0,Development,High,PK-PES,453,UNICEF,Verified by field officer,REC00584
Faisalabad,Medicine,08/01/2025,604.0,365.0,Seasonal Aid,High,PK-FAI,204,UNICEF,Partial delivery,REC01704
Sargodha,Clothing,06/01/2026,584.0,505.0,Development,Low,PK-SAR,79,UNHCR,Delayed due to weather,REC02013
Faisalabad,Hygiene,Feb-2026,468.0,217.0,Seasonal Aid,High,PK-FAI,251,USAID,Verified by field officer,REC02270
Quetta,Medicine,2026-02-01,402.0,390.0,Seasonal Aid,Low,PK-QUE,12,Red Crescent,Awaiting confirmation,REC02227
Lahore,Clothing,2026/11/01,215.0,148.0,Recovery,High,PK-LAH,67,Local Fund,Partial delivery,REC02289
Hyderabad,Water,Nov-2025,338.0,167.0,Seasonal Aid,Low,PK-HYD,171,UNICEF,,REC00359
Sargodha,Food,2026-10-01,621.0,414.0,Recovery,High,PK-SAR,207,Local Fund,Delayed due to weather,REC02698
Bahawalpur,Food,May-2026,476.0,189.0,Emergency,Medium,PK-BAH,287,WFP,Reported late,REC02255
Peshawar,Clothing,Nov-2025,721.0,670.0,Recovery,Low,,51,UNICEF,Reported late,REC00853
Lahore,Food,2025/10/01,781.0,610.0,Seasonal Aid,Medium,PK-LAH,171,Red Crescent,Delayed due to weather,REC00105
Multan,Clothing,2026-03-01,609.0,599.0,,High,PK-MUL,10,Local Fund,Partial delivery,REC00235
Karachi,Medicine,11/01/2025,404.0,159.0,Development,Medium,PK-KAR,245,WFP,Awaiting confirmation,REC00695
Faisalabad,Clothing,2026/08/01,512.0,324.0,Recovery,High,PK-FAI,188,UNICEF,N/A,REC00194
Hyderabad,Medicine,2025-05-01,783.0,262.0,Recovery,Low,PK-HYD,521,WFP,Delayed due to weather,REC01561
Faisalabad,Water,2026-07-01,544.0,275.0,Seasonal Aid,Medium,PK-FAI,269,USAID,Verified by field officer,REC00617
Sargodha,Medicine,2025/10/01,658.0,483.0,Seasonal Aid,Medium,PK-SAR,194,Local Fund,Delayed due to weather,REC01931
Faisalabad,Water,2025/01/01,320.0,272.0,Development,High,PK-FAI,48,WFP,Awaiting confirmation,REC01049
Hyderabad,Food,May-2025,543.0,325.0,Seasonal Aid,High,PK-HYD,218,Red Crescent,Awaiting confirmation,REC01056
Lahore,Hygiene,May-2025,662.0,565.0,Recovery,Medium,PK-LAH,97,UNICEF,Delayed due to weather,REC02327
Gujranwala,Clothing,06/01/2026,561.0,413.0,Development,Low,PK-GUJ,148,Local Fund,Verified by field officer,REC01157
Sialkot,Shelter,Jan-2026,835.0,702.0,Emergency,,PK-SIA,133,Local Fund,Reported late,REC00514
Gujranwala,Hygiene,2026/09/01,92.0,84.0,Seasonal Aid,Medium,PK-GUJ,8,Local Fund,Partial delivery,REC01595
Hyderabad,Medicine,Jan-2025,422.0,404.0,Recovery,Medium,PK-HYD,-15,UNICEF,N/A,REC00634
Rawalpindi,Water,02/01/2025,462.0,263.0,Development,High,PK-RAW,199,WFP,Verified by field officer,REC00385
Sargodha,Food,Aug-2026,673.0,540.0,Recovery,High,PK-SAR,154,WFP,Verified by field officer,REC01543
Faisalabad,Medicine,02/01/2026,318.0,268.0,Recovery,Low,PK-FAI,50,UNHCR,N/A,REC02334
Hyderabad,Medicine,12/01/2025,415.0,205.0,Emergency,Medium,PK-HYD,210,WFP,Verified by field officer,REC00850
Faisalabad,Water,Jun-2026,787.0,399.0,Emergency,Low,PK-FAI,388,UNICEF,Awaiting confirmation,REC02326
Quetta,Water,2025/11/01,201.0,86.0,Emergency,High,PK-QUE,115,UNHCR,,REC00714
Bahawalpur,Hygiene,2025/05/01,380.0,167.0,Seasonal Aid,Low,PK-BAH,213,UNHCR,Delayed due to weather,REC01542
Faisalabad,Water,2025-04-01,644.0,609.0,Seasonal Aid,High,PK-FAI,35,Red Crescent,N/A,REC02756
Bahawalpur,Clothing,08/01/2025,742.0,475.0,Emergency,High,PK-BAH,267,UNICEF,Verified by field officer,REC02342
Faisalabad,Clothing,2026-06-01,387.0,317.0,Recovery,Low,PK-FAI,70,Local Fund,Awaiting confirmation,REC01583
Peshawar,Hygiene,07/01/2026,155.0,131.0,Development,Medium,PK-PES,24,Red Crescent,,REC00090
Gujranwala,Medicine,Sep-2025,112.0,89.0,Recovery,Medium,PK-GUJ,23,UNHCR,Partial delivery,REC02158
Faisalabad,Water,2025-02-01,763.0,320.0,Seasonal Aid,Low,PK-FAI,407,UNHCR,Partial delivery,REC01183
Gujranwala,Hygiene,11/01/2025,487.0,367.0,Seasonal Aid,Medium,PK-GUJ,120,Local Fund,Delayed due to weather,REC02216
Sargodha,Food,2025/06/01,558.0,279.0,Seasonal Aid,Medium,PK-SAR,279,USAID,Verified by field officer,REC00308
Peshawar,Clothing,10/01/2025,787.0,519.0,Recovery,Low,PK-PES,268,WFP,Awaiting confirmation,REC01311
Multan,Hygiene,Mar-2026,883.0,,Seasonal Aid,Medium,PK-MUL,391,Govt Relief Fund,Verified by field officer,REC01372
Bahawalpur,Clothing,Nov-2026,881.0,749.0,Emergency,High,PK-BAH,132,Local Fund,Reported late,REC02620
Sargodha,Hygiene,2025-01-01,829.0,364.0,Seasonal Aid,High,PK-SAR,465,UNHCR,Delayed due to weather,REC01171
Multan,Hygiene,2026-10-01,665.0,365.0,Recovery,,PK-MUL,300,UNICEF,Awaiting confirmation,REC01363
Hyderabad,Shelter,2025/08/01,687.0,246.0,Seasonal Aid,Medium,PK-HYD,441,WFP,Partial delivery,REC00743
Bahawalpur,Water,12/01/2025,271.0,167.0,Seasonal Aid,Low,PK-BAH,104,Red Crescent,Partial delivery,REC01590
Karachi,Food,06/01/2026,571.0,410.0,Seasonal Aid,Medium,PK-KAR,161,USAID,Verified by field officer,REC00922
Lahore,Hygiene,03/01/2026,457.0,390.0,Seasonal Aid,Medium,PK-LAH,67,Govt Relief Fund,Reported late,REC00211
Quetta,Water,Jun-2025,674.0,401.0,Seasonal Aid,High,PK-QUE,273,Red Crescent,Verified by field officer,REC02678
Quetta,Food,04/01/2026,701.0,464.0,Emergency,Low,PK-QUE,237,Local Fund,Awaiting confirmation,REC00384
Peshawar,Clothing,11/01/2025,848.0,784.0,Emergency,Low,PK-PES,64,UNICEF,Partial delivery,REC00691
Quetta,Water,08/01/2025,260.0,93.0,Development,Medium,PK-QUE,167,Local Fund,Delayed due to weather,REC00709
Hyderabad,Water,10/01/2025,158.0,102.0,Emergency,Low,PK-HYD,56,Local Fund,Partial delivery,REC00403
Sialkot,Hygiene,2026-10-01,445.0,225.0,Seasonal Aid,Low,PK-SIA,220,UNHCR,Delayed due to weather,REC00702
Peshawar,Water,2025-05-01,849.0,428.0,Recovery,Medium,PK-PES,421,Local Fund,N/A,REC01843
Faisalabad,Food,2026-08-01,385.0,284.0,Emergency,Low,PK-FAI,101,USAID,Partial delivery,REC00999
Gujranwala,Shelter,2025/09/01,144.0,134.0,Emergency,Low,PK-GUJ,10,UNHCR,Awaiting confirmation,REC02113
Sargodha,Medicine,Sep-2026,745.0,537.0,Seasonal Aid,Medium,PK-SAR,181,WFP,Awaiting confirmation,REC00544
Faisalabad,Clothing,2026/02/01,597.0,429.0,Emergency,Low,PK-FAI,168,Local Fund,N/A,REC01208
Hyderabad,Water,11/01/2025,882.0,606.0,Emergency,High,PK-HYD,276,UNICEF,Delayed due to weather,REC00404
Faisalabad,Water,2026-12-01,647.0,305.0,Development,Medium,PK-FAI,342,UNHCR,,REC02705
Bahawalpur,Medicine,2026-08-01,511.0,353.0,Seasonal Aid,Medium,PK-BAH,130,Local Fund,,REC01083
Rawalpindi,Shelter,Feb-2026,680.0,413.0,Emergency,High,PK-RAW,267,USAID,N/A,REC02253
Bahawalpur,Hygiene,2025/11/01,898.0,790.0,Development,High,PK-BAH,108,Local Fund,Delayed due to weather,REC02814
Karachi,Hygiene,06/01/2026,182.0,100.0,Seasonal Aid,High,PK-KAR,82,Red Crescent,,REC00442
Sargodha,Water,05/01/2025,228.0,96.0,Development,Medium,PK-SAR,132,Local Fund,Verified by field officer,REC01524
Peshawar,Hygiene,05/01/2026,883.0,435.0,Development,Low,PK-PES,448,WFP,Reported late,REC02694
Karachi,Clothing,Nov-2026,795.0,445.0,Recovery,,PK-KAR,350,USAID,Delayed due to weather,REC02224
Lahore,Food,Jan-2026,658.0,361.0,Emergency,Low,PK-LAH,297,Red Crescent,Reported late,REC02339
Gujranwala,Food,2025-04-01,154.0,91.0,Recovery,Low,PK-GUJ,63,Local Fund,N/A,REC02040
Peshawar,Shelter,Aug-2025,383.0,132.0,Seasonal Aid,Low,PK-PES,251,USAID,Awaiting confirmation,REC01533
Lahore,Food,Oct-2026,465.0,403.0,Recovery,Medium,PK-LAH,62,Local Fund,,REC00559
Faisalabad,Food,2025/01/01,114.0,,Seasonal Aid,High,PK-FAI,40,UNHCR,Delayed due to weather,REC00861
Bahawalpur,Medicine,05/01/2025,889.0,,Recovery,Medium,PK-BAH,253,Govt Relief Fund,Reported late,REC01134
Gujranwala,Food,2025-04-01,400.0,351.0,Development,Low,PK-GUJ,49,UNHCR,,REC01502
Quetta,Hygiene,Jan-2026,142.0,49.0,Seasonal Aid,Low,PK-QUE,93,UNHCR,Verified by field officer,REC02865
Quetta,Food,2025/05/01,277.0,214.0,Recovery,Low,PK-QUE,63,USAID,Awaiting confirmation,REC01999
Quetta,Clothing,03/01/2026,193.0,148.0,Emergency,High,PK-QUE,45,WFP,Verified by field officer,REC00087
Rawalpindi,Water,2026-09-01,423.0,286.0,Seasonal Aid,Low,PK-RAW,137,WFP,N/A,REC00546
Sargodha,Hygiene,11/01/2026,93.0,67.0,Recovery,High,PK-SAR,26,UNHCR,Partial delivery,REC02826
Karachi,Wather,2026-02-01,308.0,115.0,Seasonal Aid,Low,PK-KAR,193,USAID,Awaiting confirmation,REC00463
Sialkot,Water,Aug-2026,313.0,218.0,Seasonal Aid,Low,PK-SIA,95,UNHCR,Verified by field officer,REC01951
Sargodha,Shelter,2026-05-01,200.0,118.0,Seasonal Aid,Low,,82,Red Crescent,Reported late,REC00815
Gujranwala,Food,Jun-2026,207.0,181.0,Development,High,PK-GUJ,26,UNHCR,Awaiting confirmation,REC00854
Sialkot,Medicine,11/01/2025,239.0,93.0,Recovery,Low,PK-SIA,146,Local Fund,,REC02026
Peshawar,Food,2026-10-01,446.0,440.0,Development,Medium,PK-PES,6,WFP,Reported late,REC02186
Rawalpindi,Shelter,2025-11-01,866.0,363.0,Development,High,PK-RAW,503,UNICEF,,REC01665
Karachi,Clothing,2025/01/01,588.0,290.0,Development,High,PK-KAR,298,UNICEF,,REC01006
Peshawar,Hygiene,09/01/2026,389.0,166.0,Development,Medium,PK-PES,223,WFP,Partial delivery,REC00234
Sialkot,Hygiene,05/01/2025,724.0,456.0,Emergency,Low,PK-SIA,268,Red Crescent,Partial delivery,REC00395
Lahore,Clothing,Jul-2025,189.0,145.0,Seasonal Aid,Low,PK-LAH,44,Local Fund,Awaiting confirmation,REC01603
Hyderabad,Shelter,Apr-2026,740.0,468.0,Emergency,High,PK-HYD,272,UNICEF,N/A,REC00189
Peshawar,Water,2026-06-01,353.0,318.0,Emergency,High,PK-PES,35,UNHCR,,REC02360
Gujranwala,Shelter,07/01/2026,99.0,58.0,Recovery,Low,PK-GUJ,41,UNICEF,Partial delivery,REC00614
Multan,Hygiene,09/01/2026,787.0,813.0,Recovery,Low,PK-MUL,-26,USAID,,REC00437
Bahawalpur,Medicine,2026/06/01,838.0,875.0,Development,High,PK-BAH,-37,WFP,,REC00164
Bahawalpur,Water,2026-01-01,605.0,528.0,Recovery,Medium,PK-BAH,77,WFP,,REC01831
Hyderabad,Food,2025-10-01,85.0,39.0,Development,Medium,PK-HYD,46,Local Fund,N/A,REC01219
Lahore,Water,Aug-2026,767.0,758.0,Seasonal Aid,Medium,PK-LAH,9,Govt Relief Fund,N/A,REC01200
Karachi,Food,10/01/2025,312.0,152.0,Emergency,High,PK-KAR,160,Govt Relief Fund,,REC00820
Karachi,Medicine,10/01/2025,586.0,569.0,Seasonal Aid,Medium,PK-KAR,17,UNICEF,Delayed due to weather,REC01547
Lahore,Food,2025/05/01,683.0,521.0,Seasonal Aid,High,PK-LAH,162,USAID,N/A,REC00515
Hyderabad,Hygiene,Jan-2026,800.0,548.0,Emergency,Low,PK-HYD,252,Red Crescent,Awaiting confirmation,REC00776
Hyderabad,Shelter,Apr-2026,325.0,214.0,Development,High,PK-HYD,111,WFP,Reported late,REC01469
Gujranwala,Clothing,2025/02/01,,210.0,Seasonal Aid,Medium,PK-GUJ,406,UNICEF,Delayed due to weather,REC02713
Multan,Clothing,01/01/2026,730.0,280.0,Seasonal Aid,Medium,PK-MUL,450,USAID,Verified by field officer,REC02016
Sargodha,Medcine,Mar-2025,640.0,270.0,Development,High,PK-SAR,370,UNICEF,Partial delivery,REC00487
Lahore,Shelter,2026/09/01,651.0,577.0,Seasonal Aid,High,PK-LAH,74,USAID,Awaiting confirmation,REC02661
Sargodha,Shelter,2026-04-01,800.0,800.0,Seasonal Aid,High,PK-SAR,0,UNHCR,Awaiting confirmation,REC00793
Faisalabad,Shelter,2025-04-01,609.0,303.0,Development,High,PK-FAI,306,Govt Relief Fund,Reported late,REC02541
Gujranwala,Hygiene,2025-05-01,520.0,438.0,Development,Medium,PK-GUJ,82,UNHCR,N/A,REC00583
Gujranwala,Medicine,2026-09-01,653.0,,Emergency,Medium,PK-GUJ,449,Local Fund,Reported late,REC00578
Peshawar,Food,2026/07/01,585.0,308.0,Emergency,Low,PK-PES,277,UNICEF,Partial delivery,REC01412
Hyderabad,Medicine,2025-11-01,91.0,78.0,Emergency,High,PK-HYD,13,USAID,Verified by field officer,REC00748
Bahawalpur,Water,Feb-2025,237.0,150.0,Seasonal Aid,Medium,PK-BAH,87,WFP,,REC01993
Karachi,Clothing,2026-08-01,815.0,252.0,Seasonal Aid,Low,PK-KAR,563,UNHCR,Awaiting confirmation,REC02234
Hyderabad,Hygiene,Oct-2025,515.0,213.0,Seasonal Aid,High,PK-HYD,302,Local Fund,Partial delivery,REC01836
Bahawalpur,Water,08/01/2025,371.0,179.0,Seasonal Aid,Medium,PK-BAH,192,UNHCR,N/A,REC00566
Multan,Hygiene,2026-04-01,88.0,56.0,Emergency,Low,PK-MUL,32,Govt Relief Fund,Partial delivery,REC01835
Peshawar,Hygiene,2025/11/01,836.0,842.0,Recovery,High,PK-PES,-6,Govt Relief Fund,Verified by field officer,REC01887
Quetta,Water,03/01/2026,572.0,279.0,Seasonal Aid,Low,PK-QUE,293,WFP,,REC01852
Bahawalpur,Clothing,01/01/2025,723.0,601.0,Recovery,Low,PK-BAH,122,USAID,Verified by field officer,REC00580
Lahore,Water,Oct-2025,,,Development,Low,PK-LAH,353,USAID,Delayed due to weather,REC02946
Faisalabad,Hygiene,12/01/2026,498.0,158.0,Development,Low,PK-FAI,340,UNICEF,Reported late,REC01290
Sargodha,Hygiene,Feb-2026,282.0,96.0,Seasonal Aid,Low,,186,UNHCR,Reported late,REC01593
Sargodha,Water,2025-08-01,639.0,634.0,Emergency,Low,PK-SAR,5,UNICEF,Verified by field officer,REC00803
Peshawar,Hygiene,2026-03-01,640.0,524.0,Emergency,Low,PK-PES,116,WFP,,REC00259
Peshawar,Food,2026-09-01,600.0,272.0,Development,Low,PK-PES,328,UNICEF,,REC00458
Sargodha,Hygiene,2026/08/01,736.0,270.0,Development,Medium,PK-SAR,466,Red Crescent,Verified by field officer,REC00725
Peshawar,Hygiene,2026/12/01,243.0,164.0,Development,Low,PK-PES,79,UNHCR,Delayed due to weather,REC00116
Sargodha,Food,11/01/2026,821.0,829.0,Seasonal Aid,Low,PK-SAR,-8,UNICEF,,REC01973
Quetta,Water,2026-09-01,82.0,58.0,Development,Low,PK-QUE,24,WFP,,REC01104
Hyderabad,Shelter,01/01/2026,769.0,616.0,Seasonal Aid,High,PK-HYD,153,Local Fund,Reported late,REC02937
Gujranwala,Medicine,Jun-2025,554.0,382.0,Emergency,High,PK-GUJ,172,UNHCR,Awaiting confirmation,REC01891
Rawalpindi,Food,2025-04-01,221.0,135.0,Development,Medium,PK-RAW,63,WFP,Reported late,REC01298
Karachi,Water,09/01/2025,355.0,249.0,Emergency,Low,PK-KAR,106,Red Crescent,,REC02589
Gujranwala,Clothing,Jun-2026,281.0,225.0,Recovery,High,PK-GUJ,56,Local Fund,Delayed due to weather,REC00547
Karachi,Food,10/01/2025,660.0,667.0,Development,High,PK-KAR,20,UNHCR,,REC02353
Karachi,Medicine,Nov-2026,830.0,461.0,,High,PK-KAR,369,WFP,N/A,REC02254
Karachi,Hygiene,01/01/2026,807.0,826.0,Emergency,High,PK-KAR,-19,UNICEF,Partial delivery,REC00418
Hyderabad,Shelter,Feb-2025,133.0,86.0,Development,Low,PK-HYD,47,Local Fund,Partial delivery,REC00047
Sargodha,Medicine,02/01/2025,849.0,260.0,Recovery,Medium,PK-SAR,589,Local Fund,Awaiting confirmation,REC00310
Quetta,Water,04/01/2025,493.0,194.0,Seasonal Aid,Low,PK-QUE,299,Local Fund,N/A,REC00878
Bahawalpur,Water,06/01/2026,470.0,370.0,Development,Medium,PK-BAH,106,UNHCR,Partial delivery,REC00721
Bahawalpur,Clothing,Aug-2026,446.0,248.0,Development,High,PK-BAH,198,USAID,N/A,REC02365
Karachi,Clothing,08/01/2025,286.0,,Development,Medium,PK-KAR,162,Govt Relief Fund,Awaiting confirmation,REC01525
Bahawalpur,Water,2026/07/01,683.0,636.0,Development,Medium,PK-BAH,47,Govt Relief Fund,Reported late,REC02480
Hyderabad,Shelter,2025/08/01,,341.0,Emergency,High,PK-HYD,312,WFP,N/A,REC01728
Lahore,Medicine,Apr-2026,427.0,261.0,Recovery,Medium,PK-LAH,166,WFP,N/A,REC00947
Lahore,Hygiene,Apr-2025,103.0,,Emergency,Medium,PK-LAH,70,USAID,Partial delivery,REC02545
Multan,Medicine,03/01/2025,669.0,555.0,,High,PK-MUL,114,WFP,Reported late,REC02951
Lahore,Food,2026/04/01,742.0,313.0,Seasonal Aid,Low,PK-LAH,429,Local Fund,Awaiting confirmation,REC02627
Hyderabad,Medicine,2026-07-01,753.0,320.0,Emergency,Medium,PK-HYD,433,WFP,Reported late,REC00150
